Estimated_Fitness,Likelihood_Log,Estimated_Mean_Fitness,Estimated_Read_Number_t0,Estimated_Read_Number_t1,Estimated_Read_Number_t2,Estimated_Read_Number_t3
0.16182722479543804,-12.40870506549507,0.0,90,117,170,137
0.19609196866064796,-12.71966315390971,0.022227381537790535,77,106,181,145
-0.16764608899717517,-9.2722337807898,0.06032987082129479,60,39,15,7
0.13966163606267754,-15.36971851379894,0.07927343959872699,79,98,95,97
-0.10303147178390692,-10.251272602345672,,78,59,29,16
-0.12825614163153987,-10.53026533763833,,84,60,36,14
-0.12263593446508897,-9.709165742174134,,60,43,20,10
0.059726729201150644,-11.9524379127622,,75,80,95,66
0.07656137333264441,-11.409905334249581,,72,80,94,65
0.17651360479436906,-15.428587608528037,,76,101,158,154
0.05546119856930221,-11.78030291674299,,75,80,78,57
0.00603967590282653,-10.912631169142983,,68,65,64,36
0.03611728971136292,-12.406371612225156,,60,61,87,48
0.09987585174890021,-12.197081866862966,,51,59,102,65
0.08181748810990674,-14.955835096262902,,57,64,89,47
-0.02439796221256114,-11.406168260116397,,95,86,60,38
0.07364491235379775,-11.5301308318996,,73,80,98,67
-0.23427610289388304,-8.24288171437123,,84,46,13,5
-0.008461696505112009,-12.283385679107262,,86,80,55,41
0.003957346860325714,-10.825759597053938,,70,67,55,35
-0.0373696157477863,-10.724113744599572,,68,60,49,24
0.0497810092527355,-12.167713238005426,,72,76,76,57
0.02470839242006756,-13.651298723671491,,77,77,101,50
-0.011860169549442186,-11.853475564230946,,88,82,63,42
0.0489307656009612,-11.325541072163686,,65,68,80,52
0.014345111684910417,-11.320728650052823,,64,63,64,40
0.10098701086759246,-12.585265054749907,,75,87,107,70
-0.04823008654970283,-10.570909261416858,,69,59,42,24
0.08814682970554386,-12.020582476247618,,79,89,112,82
0.04006596345802346,-11.224846833339397,,64,66,56,41
-0.08367082216781804,-11.1834930485001,,91,72,40,19
-0.01392647866808085,-11.711085180918104,,77,71,51,36
0.22021513381340863,-13.323730668868134,,87,125,196,184
0.05429081190584163,-11.392318181020642,,70,74,81,50
0.007617609019703885,-11.176189385881276,,78,75,58,38
0.12452709241493873,-11.653073254848326,,64,77,109,83
-0.03340977171653865,-10.932153851827628,,58,51,38,19
0.034252562393242564,-14.110374137694784,,83,85,83,64
-0.23743390075988915,-8.817135656927546,,71,38,15,4
-0.10149462824007024,-10.617187457419945,,78,59,30,18
-0.24475783971842704,-10.924045452851919,,94,50,10,7
-0.04182274764560809,-13.791539911333253,,70,61,73,32
0.11528802987832586,-11.435443428099733,,61,73,99,72
0.10091764543987342,-13.128755803519255,,57,66,111,81
0.12493302000148217,-12.299922291516685,,77,93,147,109
0.25762158712125144,-14.56425758156108,,80,122,205,218
0.14581299460965366,-13.555503084463096,,95,120,137,120
0.0860174401335258,-11.66923766146104,,66,74,104,68
-0.16352213916752184,-10.003264173587926,,88,58,22,11
0.12232935629477723,-11.712210746311772,,64,77,92,72
-0.08748224427036508,-10.796711893911136,,65,51,35,14
-0.11057712280596543,-12.095250773817654,,83,62,21,16
0.0743117461695168,-12.348616955246454,,84,93,121,73
0.03453938318482372,-10.995867140195479,,61,62,60,41
-0.02436801250215297,-11.65508349470322,,73,66,38,25
0.08690093137911528,-13.613469771380634,,58,65,122,77
-0.030152562612534097,-11.048460699313912,,94,84,59,33
0.0717150374706244,-12.445015362951176,,76,83,70,57
-0.10465362039844278,-10.819578085412564,,88,67,29,18
-0.12859009791063541,-11.96871539342508,,94,67,38,13
-0.14237806537867667,-10.970526348019693,,75,52,33,11
-0.026848765884966336,-12.674384627317751,,75,67,75,37
0.07177492922309851,-11.216101709145683,,63,69,77,51
-0.09152544537954918,-10.514261065562781,,66,51,32,17
0.16016071744959479,-14.531710818832835,,73,94,91,87
0.16168812319970227,-12.774015796409262,,77,100,125,104
-0.04953070971362286,-11.410370279561125,,75,64,34,25
-0.045452413738192435,-10.862801259735953,,88,76,55,31
